"screen_name" "text"
"1" "Crismp89" "@taliriapetrone Prove que a chuva intensa no RJ foi decorrente das mudanças climáticas. Aí terá como cobrar algo com esse respaldo."
"2" "Hito_silvah" "@youngcadu Oficio meu bem , eu também já fui obrigado a servir outras pessoas na chuva até mesmo em baixo do sol do meio dia do meu amado pais nordeste, as necessidades nos fazem enfrentar as mudanças climáticas do tempo, e até mesmo pessoas que sinceramente, prefiro não opinar."
"3" "beatrizdiniz" "ministro do meio depois da morte de 10 pessoas na cidade colapsada num dia lôkamente quente com a chuva mais forte em mais de 20 anos: mudanças climáticas são menos importantes. https://t.co/9joAlSod4F"
"4" "LiliSobreira" "Ainda bem que o ministro do meio ambiente @rsallesmma disse que as mudanças climáticas são um tema acadêmico. O pessoal aqui do @ClimaInfoNews já tava ficando preocupado.
https://t.co/mC6NWXitda"
"5" "FlavioLVRocha" "@g1 Aproveitando o post do G1, vi muita gente (como André Trigueiro) culpando a mudança climática pelas chuvas. Até o momento, não há evidências disso. Chuvas assim sempre ocorreram. Ver matéria do próprio G1:

https://t.co/LY5xALbyb3"
"6" "dudulimaPedra90" "A chuva de ontem na cidade do Rio de Janeiro é mais um alerta assustador para enfrentarmos com urgência e prioridade a agenda de mudanças climáticas. Em quatro horas choveu o esperado para todo o mês de abril. O... https://t.co/GT9cPU696E"
"7" "Carlosloureir15" "@exame Crivela, Mirian Leitão e André Trigueiros afirmaram que temporal no Rio é resultado das mudanças climáticas. São uns picaretas. Única climatologista da Climatempo entrevistada nega associação entre fenômenos microclimáticas e mudanças climáticas globais."
"8" "milensbatista" "hoje fez um calor danado na cidade do rio. daí veio a chuva, chuvona, chuvarada. mudanças climáticas, extremos do clima, sacomé. na cidade com estratégia de resiliência, diagnóstico e áreas de foco, mas, que tem um prefeito negacionista. explico aqui { https://t.co/OLzxk1BQMd"
"9" "luirmiranda" "A Globo tá dizendo que a chuva no RJ é por causa das “mudanças climáticas” é pra rir ou pra chorar ou pra chorar de rir? <U+0001F602>"
"10" "celinaoliveiras" "Pelo menos o Crivella acredita no aquecimento global, depois de ter tomado no cú pelas mudanças climátocas diversas vezes! #ChuvaRJ"
"11" "Cassio_Meira" "Engraçado, pra detonar o prefeito, mostram q as chuvas se repetem desde a colônia, pra defender a mudança climática somem com esse dado é dizem nunca ter acontecido antes... difícil! https://t.co/Fiyrvm2iHq"
"12" "ElisNice" "A cidade do Rio tinha Estratégia de Resiliência, lançada em maio de 2016 pelo ex-prefeito Eduardo Paes. Uma estratégia pioneira [Rio Resiliente] pra enfrentar efeitos das mudanças climáticas e desafios urbanos. O que #Crivella fez com isso? E o que isso tem a ver com #ChuvaRJ ?"
"13" "evertongomesrj" "Esta é minha antiga rua. Triste ver o estado de abandono de uma cidade global como o Rio. A incompetência q saqueia nossos serviços é uma bomba relógio num mundo em mudanças climáticas profundas. #EcoTrabalhismo #ChuvaRJ https://t.co/DBZ5FhproI"
"14" "paulogbarreto" "Rio vulnerável à mudança do clima - ((o))eco - https://t.co/Cs6OKLGaej / Matéria de quando eu era estagiária. O diagnóstico é antigo, mas os governos continuam achando razoável culpar a chuva \"não prevista\". Não prevista chonga de pitibiribas"
"15" "kohl_torsten" "Estamos indignados com a fala do prefeito da cidade do rio de janeiro. Hoje o fenomeno que vimos acontecer foram efeitos das mudanças climáticas. Não tem nada disso de chuva atípica. Medidas de prevenção tem que ser tomadas pra ontem! #grevepeloclima #RiodeJaneiro https://t.co/znvh7ViGqu"
"16" "sandrofm" "Da série mudanças climáticas são fake news \"Pior temporal dos últimos 22 anos deixa ao menos 10 mortos no Rio\"  https://t.co/j1ofv216mg"
"17" "carlosvps" "Chove a mais de 24hs no Rio. Em algumas área já caiu mais de 300 mm de chuva. Os cariocas nunca viram torrente parecida. Ainda tem quem não acredita em mudança climática.
#ChuvaRJ"
"18" "juniormatanorte" "Prefeito do Rio diz que o caos foi por causa de uma chuva “atípica”. Foi, se não me engano, a terceira chuva “atípica” apenas em 2019. 

Isso já é efeito das mudanças climáticas. E só tende a piorar, ainda mais que o governo federal é formado por muitos negacionistas climáticos."
"19" "MonaDorf" "Que chuva devastadora e violenta, no Rio. É de cortar o coração...  E ainda há quem não acredite em #mudançasclimáticas. Como repórter acompanhei chuvas torrenciais e deslizamentos de terra, em janeiro, mas não lembro de chuva tão mortal assim, em abril."
"20" "chochagn" "finalmente falando na TV que a chuva no Rio é a cara da mudança climática"
"21" "reantuunes" "Como que essa chuva no rj não tem nada a ver com mudanças climáticas <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F> me explica, minha filha"
"22" "paulocnlacerda" "@RodCunha Pode ser mudança climática,  mas perdi a conta dos bueiros entupidos e inundados ANTES da chuva, sem falar nos buracos, árvores e encostas que ameaçavam cair."
"23" "Lullureal" "@ECantanhede avisa aí que a Presidente da Clima Tempo, hoje na GN, disse que está chuva nada tem a ver com mudança climática"
"24" "Lullureal" "@andretrig presidente da Clima Tempo hoje, em entrevista na GN, frisou que a chuva de hoje nada tem a ver com mudança climática. Aliás a repórter mencionou na matéria sobre isto acontecer no Rio desde século xvi"
"25" "guibfor" "#ChuvasRJ Está na hora de todos começarem também com sua responsabilidade na educação ambiental, não poluindo ruas, rios, córregos conscientizando da importância devido a mudanças climáticas."
"26" "JohannsEller" "Sobre a trágica chuva no Rio e sua relação com as mudanças climáticas: mais didático do que o @andretrig no Globo News Em Pauta, impossível. Governos precisam reconhecer o problema e agir imediatamente"
"27" "j_laion" "Nunca vi chuva levantar asfalto.  E ainda tem quem não acredite em mudança climática. Ciclone, chuvas, secas https://t.co/lYJLLxxwxX"
"28" "beatrizdiniz" "o que era raro ficou comum #mudançasclimáticas #chuvasrj https://t.co/PDorCYdJIv"
"29" "MarcioHuser" "@Luisfts @Cardoso Já até saquei a linha do \"raciocínio\": chuva vem das mudanças climáticas, que vem do aquecimento global, que é resultante do efeito estufa, que é provocado pelo pum das vacas. Deve ser isso XD"
"30" "JooNing41444228" "@50ChicoAlencar Não gosto nem nunca gostei do Crivella.

No entanto culpa-lo pelo morro desabar em cima de um táxi, é má fé, literalmente.

Ora é mudança climática, ora o prefeito, ora o presidente.

O cidadão também tem sua parcela de culpa. 

A recomendação é esperar a chuva passar."
"31" "LampPost_16" "Depois o chanceler bolsominion diz que a mudança climatica que ocorre por causa do aquecimento global é um plano marxista. Não existe amiguinhos pod confiá , essa chuva ocorre sempre #ChuvaRJ"
"32" "GAbreu_26125" "Tempestades devastadoras, como a de ontem, estão se tornando cada vez mais comuns no Rio de Janeiro, devido à intensificação das mudanças climáticas e do aquecimento global, e ao descaso do poder público municipal e estadual com a prevenção de enchentes e deslizamentos. #ChuvaRJ https://t.co/ucnQ8VTAB3"
"33" "robbar7" "Nas últimas 24 horas, simplesmente choveu no Rio de Janeiro duas vezes mais que a média histórica pra o mês de abril. Vamos continuar cegos e achando que isso é chuva normal, que sempre aconteceu, que as #mudançasclimáticas são invenção do marxismo cultural? https://t.co/J3AC5AXkRi"
"34" "meuverbo" "Temporal devastador no Rio de Janeiro. E ainda tem energúmeno capaz de dizer que mudança climática é papo furado. Vai vendo."
"35" "callado_luiza" "Acabaram de confirmar 3 corpos soterrados num táxi. É preciso que a população carioca seja treinada pra situações de alerta. Precisamos de infraestrutura e precisamos entender que isso não vai ser evento isolado. As #mudançasclimáticas é algo real. #ChuvaRJ https://t.co/ZB98sEz5J7"
"36" "lastmem0ries" "Não é só o lixo, não é só a chuva, não é só a falta de precaução, não é só a ocupação desordenada, não é só mudanças climáticas. É tudo junto. Acordem pq isso é só um dos muitos momentos de caos que enfrentaremos #ChuvaRJ #climatechange #BomDiaRio"
"37" "beatrizdiniz" "a cidade tá colapsada. mas a natureza é sábia, tem sua lógica de manter a vida. agora a gente tem algumas oportunidades:
. ôtoridades - buscar soluções ecológicas, menos hostis
. sociedade - amar a natureza mais que objetos
. imprensa - pautar mudanças climáticas 
#ChuvasRJ"
"38" "victorandrenigr" "Mano 3 dias com calor insuportável ai vem essa chuva que não acaba, 700 pontos do Rio sem luz..

Qual a posição do governo?

Que mudança climática é uma conspiração marxista."
"39" "luanabalmas" "Lembrando que além da falta de infraestrutura do Rio, as chuvas também apontam como estamos NEM AÍ para possíveis mudanças climáticas. E é claro que nossos governantes não investem um centavo em pesquisas relacionadas ao meio ambiente. #ChuvaRJ"
"40" "BobField14" "@TheInterceptBr @MCrivella Não é defesa do prefeito, é do bom senso. Foi uma chuva torrencial, fruto das mudanças climáticas. Choveu 300ml em 4 horas. Foi só a Ciclovia que sofreu? Mania de depreciar o Rio. O Rio é maior que Crivela, é maior que Witzel, é maior que Bozo e é maior que o Intercept."
"41" "pedlowma" "Chuva intensa em pouco tempo: padrão mudanças climáticas https://t.co/sC3JmjY5ec via @YouTube"
"42" "M_Ferreira01" "É preciso investimento, medidas efetivas sobre as mudanças climáticas... olha como isso afeta a nossa vida!!!
Chuva é algo natural, mas esses estragos podem ser evitados sim. Falta posicionamento!falta muita coisa desse atual governo."
"43" "HabitatCO2lutio" "A cidade do Rio tá colapsada. E não, não é culpa da chuva. É responsabilidade do prefeito Crivella. Negacionista de carteirinha, Crivella ignorou todo o marco regulatório de mudanças climáticas e resiliência pra cidade. #chuvasrio https://t.co/MU0lQf5ul7"
"44" "globalnewdeal" "A cidade do Rio tá colapsada. E não, não é culpa da chuva. É responsabilidade do prefeito Crivella. Negacionista de carteirinha, Crivella ignorou todo o marco regulatório de mudanças climáticas e resiliência pra cidade. #chuvasrio https://t.co/pnmRAcvXAF"
"45" "CCCRdg" "A cidade do Rio tá colapsada. E não, não é culpa da chuva. É responsabilidade do prefeito Crivella. Negacionista de carteirinha, Crivella ignorou todo o marco regulatório de mudanças climáticas e resiliência pra cidade. #chuvasrio https://t.co/gOqDOcHxY2"
"46" "ClimateDisaster" "A cidade do Rio tá colapsada. E não, não é culpa da chuva. É responsabilidade do prefeito Crivella. Negacionista de carteirinha, Crivella ignorou todo o marco regulatório de mudanças climáticas e resiliência pra cidade. #chuvasrio https://t.co/RM9UlSBR0K"
"47" "beatrizdiniz" "A combinação de urbanização e mudanças climáticas exige políticos preparados pra prover as cidades com resiliência e adaptação. O oposto dessa “nova era” de tantas ôtoridades eleitas em nome de Deus e negacionistas.
https://t.co/OLzxk1BQMd"
"48" "patbalbi" "Se não existem mudanças climáticas, não precisa de mitigação. #ChuvaRJ"
"49" "marlon_faria" "Não é só escoar rio, tem que tratar das mudanças climáticas com seriedade! Dissolvendo Ibama e atacando a Amazônia que não vai ser...  #ChuvaRJ"
"50" "beatrizdiniz" "@davidmirandario A cidade tem política municipal de mudanças climáticas, deputado. E tem Estratégia de Resiliência. O fator negacionismo do prefeito interfere na gestão de tal forma que chegamos ao colapso de hoje. Explico aqui nesse texto. #CPIdasEnchentes
https://t.co/OLzxk1BQMd"
"51" "AndersonAlvisse" "#ChuvaRJ Eventos assim serão cada vez mais comuns. #mudançaclimática. https://t.co/RDlBXZVM0O"
"52" "barbosa_lucao" "@andretrig deu uma aula de mudanças climáticas pro Crivella. https://t.co/iUqiQmHeTs"
"53" "tacizone" "Tu vê uma chuva bizarra dessa (que não é a primeira do ano) e pensa: COMÉQUI tem gente que nega mudanças climáticas, aquecimento global e os caralho!?"
"54" "MarcusMarverick" "Pode ser dizer que talvez essa forte chuva possa ser um reflexo do que estamos vivendo atualmente no mundo. As mudanças climaticas !  #chuvarj #Riodejaneiro https://t.co/wRc3X8yLjO"
"55" "delcueto" "\"Evento extremo\", cada vez mais comum nesses tempos de mudanças climáticas. @MCrivella está nadando na ignorância quando se trata de cuidar do Rio. #ChuvasRJ"
"56" "johnjohnperigo" "E ainda tem idiota querendo negar mudanças climáticas #ChuvaRJ"
"57" "Lu_Silvestrini" "Cobrar a Prefeitura pelo caos que se estabelece desde ontem no Rio com a chuva é muito legítimo. Mas vc tb pode parar de debochar daquele amigo que te pede pra economizar água, evitar plástico e usar menos o carro. Antes de tudo é uma mudança climática. E pode piorar muito!"
"58" "leite_ka" "Amanhã faz um mês que São Paulo foi atingida por uma chuva torrencial. Hoje, o Rio de Janeiro está em calamidade por causa de outro temporal. Nem dá mais para falar que são as temidas \"chuvas de verão\". E ainda tem quem desdenha da tal mudança climática. #ChuvaRJ"
"59" "ohmychuuves" "falei em mudanças climáticas repentinas, já to aqui espirrando igual uma descaralhada por conta de temporal surpresa de ontem &lt;////3 https://t.co/xiOlG7vSzO"
"60" "MartinLSales" "O Brasil ainda não está preparado para “desastres” naturais como chuvas intensas e mudanças climáticas 
 #ChuvaRJ"
"61" "Danillorafa1" "Motivo de caos no Rio, é 'retrato de clima mais hostil' 

Não da para ficar mais desconsiderando causas e efeitos das mudanças climáticas em nosso dia a dia. #ChuvaRJ 

https://t.co/WMFm5nFymX"
"62" "NataliaLagreca" "@MiGuaraciaba @MCrivella Miriam , choveu nessas 4 horas mais que naquele temporal de fevereiro. É uma mistura de esculhambação, mudança climática, população que não sabe cuidar do lixo. E sim, total despreparo. Havia um alerta de chuva forte. Pq não liberaram estudantes/crianças antes do horário"
"63" "VaismanJulio" "@folha Chuva Extrema de hoje já superou a expectativa do mês de Abril inteiro

Mais uma chuva mortal; 1 Falecido

Deslizamentos de terras; 3 Crianças soterradas

É um problema mundial

É preciso parar de negar o óbvio, e começar a investir em infraestrutura contra mudanças climáticas"
"64" "beatrizdiniz" "@taliriapetrone Tem política, não usa. A cidade do Rio tem Estratégia de Resiliência, Diagnóstico e Áreas de Foco com as principais ameaças pra cidade relacionadas às mudanças climáticas. E sim, a chuvona de hoje, como a de fevereiro, é mudança do clima. Olha aqui, pfv https://t.co/OLzxk1BQMd"
"65" "chrizinn" "meno incrivel....... só o jamal fala que vai apertar que a chuva começa a cair<U+0001F621><U+0001F621><U+0001F621><U+0001F621> esse fenomeno ta causando até mudanças climaticas kkkkkkk tal do fenomeno"
"66" "rogeralvareng23" "@Teledramaturgia vc esta bem? Que chuva torrencial aí no Rio. Que tristeza. #mudançasclimaticas"
"67" "danieldepaula01" "Macho, ô doidera. Aqui na Barra tava um solzão de queimar a pele, aí agora se transformou numa chuva forte com vento. Coisa de 20minsna mudança de clima. Sem contar que antes desse solzão já tinha chovido de manhã cedo. Fortaleza tá um caso sério viu, pense!"
"68" "nellibori" "tem que acabar com as mudanças climáticas abruptas 
#chuva nunca mais."
